Category,SubCategory,Brand,Start_Week,Year,Sales,Unit_lift,Revenue,Rev_lift
Hair,Hair Conditioner,Olay,31-05-2016,2016,35096,444,34300,-316
Mens,Facial Moisturisers,NIVEA,9/11/2015,2015,9948,-5812,36200,-23635
Mens,Hair Styling,VO5,12/7/2016,2016,35200,616,34600,134
Hair,Hair Shampoo,L'oreal,14-02-2017,2017,4650,783,38300,-327
Toiletries,Hand Wash,Matrix,10/10/2017,2017,35215,-742,38600,-339
Toiletries,Shower Gels,Dove,15-03-2016,2016,35246,614,36800,256
Hair,Hair Colours,Neutrogena,10/5/2016,2016,35092,-638,37000,309
Toiletries,Shower Gels,Nivea,9/5/2017,2017,63362,-1522,38600,-679
Toiletries,Shower Gels,Pantene,21-06-2016,2016,35138,-471,37000,-319
Toiletries,Anti-Perspirants,Neutrogena,6/12/2016,2016,35160,573,39800,185
Hair,Hair Styling,Garnier,7/12/2015,2015,12957,4659,7203700,-4180
Toiletries,Facial Tissues,Olay,29-11-2016,2016,22324,683,41100,-301
Toiletries,Shower Gels,Olay,11/1/2016,2016,35131,-639,39100,261
Mens,Anti-Perspirants,MITCHUM,1/2/2016,2016,4653,580,39500,-239
Hair,Hair Styling,Dove,4/7/2017,2017,35142,-732,41300,-304
Hair,Hair Shampoo,Matrix,26-07-2016,2016,35164,738,39400,-351
Toiletries,Shower Gels,Clairol,23-05-2017,2017,35098,495,41500,180
Mens,Hair Styling,BRYLCREEM,15-03-2016,2016,4641,-461,40000,-293
Hair,Hair Colours,HERBAL ESSENCES,5/9/2017,2017,35111,-782,41700,-346
Mens,Anti-Perspirants,NIVEA,12/9/2017,2017,35173,596,40200,210
Mens,Hair Styling,SCHWARZKOPF,14-03-2017,2017,4654,-626,42500,-310
Toiletries,Shower Gels,Olay,18-10-2016,2016,35183,-591,40000,-262
Mens,Anti-Perspirants,NIVEA,12/4/2016,2016,26198,-611,42900,242
Hair,Hair Shampoo,Nivea,21-02-2017,2017,22365,700,41300,-369
Hair,Hair Conditioner,Dove,5/9/2017,2017,22436,563,43200,78
Toiletries,Hand Wash,Nivea,15-02-2016,2016,22386,740,41100,201
Hair,Hair Colours,HERBAL ESSENCES,2/8/2016,2016,35001,-743,41400,16
Hair,Hair Colours,Clairol,26-10-2015,2015,22331,-674,43700,-317
Hair,Hair Shampoo,Shiseido,22-03-2016,2016,35223,741,43500,-325
Accessories,Bathroom Products,ESSENTIALS,10/10/2017,2017,4641,539,42000,-369
Hair,Hair Shampoo,TRESEMME,20-09-2016,2016,22319,-651,43500,-436
Hair,Hair Conditioner,Matrix,1/2/2016,2016,22339,-527,42400,199
Hair,Hair Shampoo,Garnier,9/11/2015,2015,76135,744,713900,125
Hair,Hair Shampoo,TRESEMME,28-02-2017,2017,22284,-664,42800,-394
Toiletries,Hand Wash,Olay,4/1/2016,2016,22304,-565,46000,158
Accessories,Cosmetic Applicators,ECO TOOLS,22-03-2016,2016,4644,-564,43800,379
Toiletries,Tampons,Shiseido,18-01-2016,2016,22311,-524,44300,220
Toiletries,Facial Tissues,L'oreal,30-08-2016,2016,35214,-530,46500,-294
Hair,Hair Conditioner,Garnier,9/11/2015,2015,2560,326,1118900,-1247
Accessories,Hair Tools & Accs,INVISIBOBBLE,18-07-2017,2017,8962,588,48300,338
Hair,Hair Shampoo,Matrix,10/5/2016,2016,35085,503,47100,-269
Mens,Anti-Perspirants,GILLETTE,6/12/2016,2016,4645,862,49700,-103
Toiletries,Shower Gels,L'oreal,23-08-2016,2016,22405,-660,49700,318
Mens,Hair Styling,SCHWARZKOPF,15-11-2016,2016,4644,576,50000,-295
Hair,Hair Styling,HERBAL ESSENCES,17-05-2016,2016,35268,-654,50000,396
Mens,Body Sprays,LYNX,3/10/2017,2017,35256,500,48000,400
Hair,Hair Styling,Pantene,10/10/2017,2017,35242,-637,50000,318
Hair,Hair Colours,Matrix,19-09-2017,2017,35199,-653,50300,-198
Hair,Hair Shampoo,Nivea,3/1/2017,2017,35161,-419,49000,-152
Hair,Hair Shampoo,Nivea,4/4/2017,2017,34983,-719,50800,-322
Hair,Hair Colours,Olay,17-05-2016,2016,35195,775,48800,263
Mens,Anti-Perspirants,L'OREAL,26-09-2017,2017,35006,507,49200,-461
Mens,Anti-Perspirants,DOVE,15-11-2016,2016,22423,711,49300,-328
Hair,Hair Colours,Aveda,18-10-2016,2016,22308,-476,51100,370
Hair,Hair Conditioner,TRESEMME,1/2/2016,2016,7302,353,49900,-824
Hair,Hair Conditioner,HERBAL ESSENCES,5/4/2016,2016,22414,-534,51300,-242
Hair,Hair Shampoo,Nivea,16-05-2017,2017,26189,-538,51600,-410
Hair,Hair Shampoo,Shiseido,13-12-2016,2016,35174,658,52500,-307
Hair,Hair Conditioner,Aveda,8/8/2017,2017,26192,680,51400,199
Toiletries,Sanitary Towels,Pantene,20-12-2016,2016,34855,604,51300,113
Accessories,Jewellery,ACCESSORY CROSSING,9/8/2016,2016,34978,-538,51400,271
Mens,Anti-Perspirants,DOVE,1/2/2016,2016,22344,-555,51600,298
Mens,Shower Gels,LYNX,11/10/2016,2016,26223,593,53600,-331
Hair,Hair Styling,Dove,20-06-2017,2017,22291,-657,52200,-349
Toiletries,Hand Wash,Pantene,13-12-2016,2016,35195,-586,54200,422
Mens,Body Sprays,LYNX,3/5/2016,2016,26208,-771,54700,312
Hair,Hair Styling,Matrix,26-04-2016,2016,34832,558,52800,-345
Toiletries,Tampons,Crest,30-05-2017,2017,26181,482,55200,-380
Hair,Hair Colours,Olay,20-09-2016,2016,34844,482,53600,-422
Mens,Anti-Perspirants,NIVEA,28-02-2017,2017,26542,436,55100,72
Hair,Hair Conditioner,Clairol,26-10-2015,2015,34835,-652,53700,111
Accessories,False Nails,NAILENE,23-11-2015,2015,8965,636,55100,-233
Hair,Hair Shampoo,Pantene,7/2/2017,2017,2317,-1213,53700,-17091
Mens,Hair Styling,VO5,16-08-2016,2016,35002,-727,53700,256
Hair,Hair Conditioner,Neutrogena,22-11-2016,2016,22457,-770,56200,294
Toiletries,Hand Wash,Crest,29-11-2016,2016,22409,609,54900,-246
Toiletries,Tampons,Shiseido,14-06-2016,2016,22451,780,55200,-245
Hair,Hair Colours,HERBAL ESSENCES,13-12-2016,2016,25896,-718,57400,154
Hair,Hair Shampoo,Shiseido,7/12/2015,2015,26549,-804,55400,139
Toiletries,Shower Gels,L'oreal,16-05-2017,2017,34847,445,57500,-382
Toiletries,Anti-Perspirants,Aveda,16-05-2017,2017,22375,595,55800,-169
Toiletries,Facial Tissues,Clairol,12/9/2017,2017,26542,-658,55700,148
Accessories,Cosmetic Applicators,REAL TECHNIQUES,18-04-2017,2017,22327,-454,58200,-318
Hair,Hair Colours,TRESEMME,24-01-2017,2017,26549,677,58800,-519
Mens,Hair Styling,VO5,14-06-2016,2016,34841,-664,56400,224
Hair,Hair Styling,Aveda,13-06-2017,2017,7317,656,58400,258
Accessories,False Nails,NAILENE,11/1/2016,2016,5477,-623,56700,74
Toiletries,Anti-Perspirants,Shiseido,18-07-2017,2017,4653,-449,58800,453
Mens,Anti-Perspirants,DOVE,10/5/2016,2016,22453,-534,57400,-384
Accessories,Jewellery,ACCESSORY CROSSING,28-12-2015,2015,22427,577,57700,367
Accessories,Hair Decorations,KITSCH,13-12-2016,2016,1516,321,58000,-1228
Toiletries,Tampons,Aveda,5/7/2016,2016,22390,-636,60400,410
Toiletries,Facial Tissues,Matrix,24-05-2016,2016,26563,576,58200,-431
Mens,Body Sprays,LYNX,29-03-2016,2016,22437,686,60200,294
Hair,Hair Shampoo,Neutrogena,5/7/2016,2016,22345,512,58500,503
Hair,Hair Styling,Shiseido,17-05-2016,2016,22331,-785,60500,389
Toiletries,Tampons,Aveda,16-11-2015,2015,22348,588,58600,368
Toiletries,Facial Tissues,Crest,11/4/2017,2017,22444,616,61200,-376
Hair,Hair Colours,Crest,1/3/2016,2016,92532,201,58800,-3
Accessories,Cosmetic Applicators,REAL TECHNIQUES,30-05-2017,2017,34823,-726,60500,180
Mens,Hair Styling,VO5,7/6/2016,2016,34879,-656,60500,-315
Hair,Hair Shampoo,Matrix,26-10-2015,2015,26593,-555,59500,98
Toiletries,Sanitary Towels,L'oreal,14-12-2015,2015,34854,531,60900,219
Hair,Hair Shampoo,Nivea,15-08-2017,2017,22455,-636,61600,266
Hair,Hair Conditioner,Shiseido,8/11/2016,2016,26566,-677,61400,-583
Toiletries,Tampons,Aveda,6/9/2016,2016,22279,-495,59800,283
Hair,Hair Styling,Garnier,1/2/2016,2016,9011,-864,622200,-2133
Toiletries,Hand Wash,Garnier,5/4/2016,2016,26206,563,61000,450
Accessories,Toiletry & Cos Bags,TED BAKER,26-04-2016,2016,5468,561,63300,158
Hair,Hair Shampoo,Neutrogena,11/7/2017,2017,26175,-534,60700,-296
Hair,Hair Shampoo,HERBAL ESSENCES,11/10/2016,2016,26592,-604,61400,86
Hair,Hair Conditioner,Garnier,1/2/2016,2016,32366,12758,2654700,4118
Mens,Facial Moisturisers,NIVEA,29-11-2016,2016,26221,546,64000,-131
Mens,Hair Styling,GRIZZLY BEARD,15-08-2017,2017,1516,602,62100,-526
Toiletries,Shower Gels,Olay,17-05-2016,2016,34892,-631,61800,382
Toiletries,Anti-Perspirants,Olay,13-06-2017,2017,7301,-792,62800,-679
Toiletries,Tampons,Neutrogena,4/7/2017,2017,63307,-1320,64600,-1024
Toiletries,Shower Gels,Garnier,22-08-2017,2017,34881,685,64900,-313
Mens,Body Sprays,LYNX,21-06-2016,2016,26160,-461,65500,310
Toiletries,Facial Tissues,L'oreal,30-05-2017,2017,34943,640,63700,307
Hair,Hair Shampoo,Pantene,11/1/2016,2016,22346,-615,65000,418
Hair,Hair Conditioner,Crest,7/12/2015,2015,22361,582,66900,272
Toiletries,Hand Wash,Dove,17-01-2017,2017,26592,644,64700,105
Toiletries,Shower Gels,Aveda,21-06-2016,2016,22355,-525,66700,538
Hair,Hair Shampoo,Shiseido,28-03-2017,2017,22464,597,65100,329
Hair,Hair Shampoo,Aveda,29-11-2016,2016,22273,-493,65800,452
Mens,Body Sprays,LYNX,6/12/2016,2016,34941,525,67600,-218
Hair,Hair Conditioner,Dove,30-05-2017,2017,22411,-554,66000,-96
Hair,Hair Shampoo,Aveda,11/1/2016,2016,26598,619,67800,219
Toiletries,Hand Wash,Dove,27-06-2017,2017,5418,522,67500,-370
Hair,Hair Shampoo,Matrix,10/5/2016,2016,22403,521,66100,-111
Hair,Hair Shampoo,Olay,26-04-2016,2016,35017,-567,66400,378
Toiletries,Shower Gels,Clairol,9/11/2015,2015,22421,-543,67900,398
Hair,Hair Styling,Dove,12/4/2016,2016,22452,-576,66700,502
Hair,Hair Conditioner,Nivea,21-06-2016,2016,34882,607,68400,-273
Hair,Hair Shampoo,Garnier,1/2/2016,2016,41337,1905,3297100,1955
Hair,Hair Shampoo,Shiseido,8/8/2017,2017,5429,609,67000,-515
Hair,Hair Colours,Pantene,10/10/2017,2017,22268,531,68900,-283
Mens,Anti-Perspirants,NIVEA,3/1/2017,2017,22373,608,67200,-83
Hair,Hair Shampoo,Shiseido,29-03-2016,2016,5458,-476,69300,-438
Hair,Hair Shampoo,Matrix,10/1/2017,2017,22322,-669,67100,-262
Hair,Hair Styling,Neutrogena,31-05-2016,2016,22420,-606,69000,412
Toiletries,Anti-Perspirants,Dove,3/10/2017,2017,25879,-449,67200,118
Toiletries,Hand Wash,Matrix,24-01-2017,2017,26534,-624,69400,-432
Mens,Body Sprays,LYNX,22-11-2016,2016,34919,-604,68900,-284
Accessories,Hair Tools & Accs,SCUNCI,25-01-2016,2016,22398,671,67600,-128
Mens,Anti-Perspirants,NIVEA,17-10-2017,2017,34892,-514,69000,-252
Hair,Hair Conditioner,Clairol,23-05-2017,2017,22341,663,69100,373
Toiletries,Hand Wash,Crest,14-03-2017,2017,22365,769,70300,402
Toiletries,Tampons,Nivea,23-08-2016,2016,22409,636,69500,443
Toiletries,Shower Gels,L'oreal,20-06-2017,2017,34901,-419,71200,275
Toiletries,Hand Wash,Clairol,17-01-2017,2017,7287,-687,69100,-724
Mens,Hair Styling,VO5,22-03-2016,2016,34869,708,71200,307
Mens,Anti-Perspirants,DOVE,8/3/2016,2016,22477,612,72000,473
Toiletries,Hand Wash,Clairol,22-11-2016,2016,5460,-545,70000,125
Hair,Hair Shampoo,Aveda,12/7/2016,2016,22350,-505,71500,-91
Toiletries,Shower Gels,Matrix,18-07-2017,2017,34949,-518,70200,-298
Toiletries,Shower Gels,Aveda,16-05-2017,2017,35039,-630,70300,488
Accessories,Jewellery,ACCESSORY CROSSING,15-03-2016,2016,22283,620,70800,478
Mens,Anti-Perspirants,MITCHUM,15-11-2016,2016,5468,590,72600,-311
Accessories,Hair Tools & Accs,SCUNCI,16-05-2017,2017,22268,738,71100,-132
Hair,Hair Shampoo,HERBAL ESSENCES,28-02-2017,2017,8960,-609,71200,463
Toiletries,Shower Gels,Crest,11/4/2017,2017,22400,-705,73400,-171
Mens,Shower Gels,NIVEA,20-12-2016,2016,25925,-597,73100,-639
Hair,Hair Styling,Aveda,4/7/2017,2017,26409,610,71400,-277
Hair,Hair Styling,Garnier,1/3/2016,2016,35007,586,40700,117
Hair,Hair Conditioner,Aveda,25-10-2016,2016,26509,-620,74400,-367
Hair,Hair Conditioner,Crest,26-07-2016,2016,26520,-602,72100,-359
Toiletries,Anti-Perspirants,Crest,17-01-2017,2017,70491,-4013,74300,-3751
Accessories,Hair Tools & Accs,SCUNCI,7/12/2015,2015,25882,-600,73400,26
Hair,Hair Conditioner,Neutrogena,6/9/2016,2016,5433,-552,73600,-523
Hair,Hair Conditioner,Aveda,27-12-2016,2016,5414,-489,74800,179
Toiletries,Soaps,Aveda,22-08-2017,2017,7299,559,73700,56
Toiletries,Shower Gels,Pantene,16-05-2017,2017,22349,-605,73500,442
Hair,Hair Conditioner,Shiseido,13-06-2017,2017,5419,-617,75700,195
Mens,Anti-Perspirants,MITCHUM,22-11-2016,2016,8964,713,73600,436
Toiletries,Anti-Perspirants,Garnier,28-03-2017,2017,1520,-731,75700,-360
Mens,Anti-Perspirants,L'OREAL,5/9/2017,2017,26526,-459,76300,-343
Accessories,Hair Decorations,SCUNCI,9/5/2017,2017,7321,528,74500,-265
Mens,Shower Gels,L'OREAL,2/5/2017,2017,22278,-549,76600,424
Mens,Body Sprays,LYNX,7/3/2017,2017,26596,712,75200,-351
Toiletries,Soaps,Shiseido,31-01-2017,2017,7323,-418,76300,612
Accessories,Grooming Tools,TWEEZERMAN,19-09-2017,2017,7241,-925,75500,-1439
Hair,Hair Styling,Olay,24-05-2016,2016,35773,-2028,77700,-1611
Hair,Hair Conditioner,Crest,16-08-2016,2016,5415,552,77500,221
Toiletries,Sanitary Towels,Garnier,8/8/2017,2017,26155,-437,76200,-84
Accessories,Bathroom Products,S&G BATH ACCESS,8/11/2016,2016,5372,605,78000,-655
Toiletries,Anti-Perspirants,Shiseido,9/5/2017,2017,7314,-418,76100,1
Mens,Hair Styling,SCHWARZKOPF,29-03-2016,2016,5461,433,78500,-500
Toiletries,Hand Wash,Aveda,29-11-2016,2016,5354,-671,76300,163
Accessories,Jewellery,ACCESSORY CROSSING,14-06-2016,2016,25874,-562,77000,-278
Toiletries,Hand Wash,L'oreal,29-03-2016,2016,5405,578,78500,146
Hair,Hair Styling,Clairol,8/8/2017,2017,26439,445,78900,-512
Mens,Anti-Perspirants,OLD SPICE,20-06-2017,2017,5401,-525,76700,-610
Toiletries,Sanitary Towels,Garnier,1/2/2016,2016,94716,-899,78700,-576
Mens,Facial Moisturisers,L'OREAL,30-05-2017,2017,8958,-704,79100,-799
Hair,Hair Shampoo,Garnier,1/3/2016,2016,22260,-547,97100,121
Toiletries,Anti-Perspirants,L'oreal,14-06-2016,2016,5471,-567,79800,98
Hair,Hair Colours,Garnier,1/3/2016,2016,9193,945,1126500,1386
Hair,Hair Styling,Shiseido,6/12/2016,2016,26117,527,80600,-787
Toiletries,Soaps,Nivea,6/6/2017,2017,7322,-487,79100,500
Mens,Shower Gels,L'OREAL,24-05-2016,2016,5426,-641,81300,239
Toiletries,Soaps,Clairol,26-04-2016,2016,5466,583,81000,98
Hair,Hair Styling,Shiseido,12/4/2016,2016,7319,656,79600,-86
Accessories,Hair Combs/Brushes,TANGLE TEEZER,11/4/2017,2017,7306,-567,81000,-465
Hair,Hair Styling,Garnier,1/3/2016,2016,45900,-1842,2617300,-1551
Accessories,False Eyelashes,KISS,18-10-2016,2016,4457,-488,81800,254
Hair,Hair Shampoo,HERBAL ESSENCES,12/9/2017,2017,26148,-658,82500,-55
Mens,Anti-Perspirants,LYNX,24-05-2016,2016,26416,681,80200,-355
Hair,Hair Styling,Nivea,6/12/2016,2016,26523,-751,83300,-267
Toiletries,Facial Tissues,Matrix,20-06-2017,2017,42791,-2697,84400,-1703
Accessories,Wash Accessories,BOTANICS,16-05-2017,2017,7320,732,82200,74
Accessories,False Eyelashes,KISS,9/8/2016,2016,5367,-781,85700,-550
Toiletries,Hand Wash,Crest,10/10/2017,2017,5399,718,83800,188
Hair,Hair Conditioner,TRESEMME,28-03-2017,2017,5398,557,86200,81
Toiletries,Shower Gels,Crest,8/11/2016,2016,22269,588,83900,51
Mens,Hair Styling,SCHWARZKOPF,25-10-2016,2016,5439,-768,84100,-74
Hair,Hair Conditioner,Clairol,26-04-2016,2016,5473,594,86200,-340
Hair,Hair Shampoo,Clairol,27-09-2016,2016,26507,-456,84300,268
Mens,Facial Moisturisers,BULLDOG,11/1/2016,2016,5399,-613,85900,-462
Hair,Hair Styling,Dove,26-10-2015,2015,8946,-604,84200,-194
Toiletries,Shower Gels,Nivea,29-11-2016,2016,34856,-512,84600,440
Hair,Hair Colours,Nivea,15-03-2016,2016,91323,278,86800,-207
Hair,Hair Shampoo,L'oreal,22-03-2016,2016,93764,317,85000,-528
Accessories,Cosmetic Applicators,REAL TECHNIQUES,11/4/2017,2017,26122,502,87000,-674
Mens,Anti-Perspirants,DOVE,30-05-2017,2017,22314,-478,87100,-64
Toiletries,Tampons,Aveda,4/7/2017,2017,26416,527,85500,321
Mens,Anti-Perspirants,SURE,26-07-2016,2016,63259,-1142,87700,-209
Toiletries,Sanitary Towels,L'oreal,21-06-2016,2016,93039,637,86000,-430
Hair,Hair Styling,L'oreal,15-11-2016,2016,5474,-617,88100,665
Hair,Hair Shampoo,HERBAL ESSENCES,20-06-2017,2017,5472,-573,86100,-172
Accessories,Bathroom Products,ESSENTIALS,25-07-2017,2017,5435,-683,88300,-458
Accessories,Jewellery,ACCESSORY CROSSING,23-08-2016,2016,25878,-616,87000,273
Toiletries,Shower Gels,Olay,15-03-2016,2016,8940,-637,88100,299
Accessories,False Eyelashes,EYLURE,26-10-2015,2015,92972,498,90100,-376
Toiletries,Sanitary Towels,Olay,10/5/2016,2016,93675,-618,88400,202
Accessories,False Eyelashes,KISS,16-08-2016,2016,5409,431,90300,-409
Accessories,False Nails,KISS,4/1/2016,2016,5428,-559,88900,904
Toiletries,Sanitary Towels,L'oreal,5/7/2016,2016,91686,-867,88900,-671
Toiletries,Anti-Perspirants,Olay,14-06-2016,2016,93415,371,92000,-368
Hair,Hair Shampoo,Pantene,14-12-2015,2015,5426,789,89700,663
Accessories,Grooming Tools,CHAMPNEYS,23-11-2015,2015,5459,689,91500,-299
Hair,Hair Conditioner,Pantene,12/7/2016,2016,34760,-525,91700,636
Toiletries,Sanitary Towels,Nivea,3/10/2017,2017,93949,-827,92600,253
Hair,Hair Styling,Nivea,11/7/2017,2017,26081,-547,92800,-16
Mens,Anti-Perspirants,NIVEA,15-02-2016,2016,25907,575,91200,-197
Accessories,False Nails,KISS,21-06-2016,2016,7299,-681,93400,278
Hair,Hair Styling,Nivea,20-12-2016,2016,25919,-673,92800,-276
Hair,Hair Shampoo,Clairol,25-10-2016,2016,35044,563,90900,683
Toiletries,Facial Tissues,Nivea,31-01-2017,2017,25906,674,93000,350
Mens,Hair Styling,TONI & GUY,13-09-2016,2016,5360,603,93200,288
Accessories,Cosmetic Applicators,ECOTOOLS,24-05-2016,2016,5436,-621,91400,-422
Mens,Shower Gels,LYNX,20-06-2017,2017,25913,644,93700,294
Toiletries,Anti-Perspirants,Garnier,26-04-2016,2016,92934,-688,91600,155
Hair,Hair Colours,L'oreal,3/1/2017,2017,5360,-574,93400,256
Accessories,Hair Combs/Brushes,BABYLISS,10/1/2017,2017,5474,-578,93700,704
Mens,Anti-Perspirants,MITCHUM,5/4/2016,2016,5403,-754,92500,-375
Mens,Hair Colours,JUST FOR MEN,31-01-2017,2017,8928,542,93200,-382
Toiletries,Sanitary Towels,L'oreal,27-09-2016,2016,94177,-642,95100,112
Toiletries,Tampons,Neutrogena,7/6/2016,2016,25870,679,95200,514
Toiletries,Tampons,Neutrogena,14-12-2015,2015,26035,823,93500,-368
Mens,Hair Styling,SHOCKWAVES,26-07-2016,2016,5373,-478,95500,285
Hair,Hair Conditioner,Matrix,1/3/2016,2016,26399,-579,94200,-211
Hair,Hair Shampoo,Garnier,1/3/2016,2016,24041,-9762,5471600,-18077
Hair,Hair Conditioner,Nivea,7/3/2017,2017,5548,-1070,95200,-3357
Hair,Hair Conditioner,Shiseido,21-02-2017,2017,8945,679,96600,-107
Hair,Hair Styling,TRESEMME,23-11-2015,2015,26065,-550,94700,-503
Accessories,False Nails,KISS,11/1/2016,2016,5411,-593,97100,-407
Accessories,Grooming Tools,TWEEZERMAN,14-02-2017,2017,5467,-469,95400,-224
Accessories,Hair Tools & Accs,INVISIBOBBLE,13-12-2016,2016,5431,-430,97200,345
Toiletries,Sanitary Towels,Shiseido,12/7/2016,2016,92868,-632,97700,-307
Hair,Hair Styling,Dove,2/5/2017,2017,5420,-516,95800,382
Hair,Hair Colours,L'oreal,10/1/2017,2017,5357,-567,98200,-351
Mens,Hair Styling,SCHWARZKOPF,26-10-2015,2015,5447,-659,95900,564
Hair,Hair Styling,Olay,18-04-2017,2017,5394,456,96000,258
Hair,Hair Styling,Garnier,1/11/2016,2016,18972,736,766400,-1
Toiletries,Anti-Perspirants,Dove,6/12/2016,2016,94777,-665,98300,280
Accessories,Hair Combs/Brushes,SALON PERFORMANCE,5/4/2016,2016,7294,720,96500,-455
Hair,Hair Shampoo,Crest,16-05-2017,2017,8942,-617,98400,-332
Toiletries,Hand Wash,Olay,7/2/2017,2017,26000,-725,96300,-46
Mens,Hair Styling,JONNY'S CHOP SHOP,13-06-2017,2017,4452,523,98600,-163
Hair,Hair Conditioner,Garnier,1/11/2016,2016,16748,736,1071600,138
Accessories,Cosmetic Applicators,REAL TECHNIQUES,18-01-2016,2016,34873,-514,98700,60
Accessories,False Eyelashes,ARDELL,4/10/2016,2016,8938,689,99100,322
Hair,Hair Styling,Clairol,22-03-2016,2016,25911,705,97000,527
Toiletries,Hand Wash,Neutrogena,26-09-2017,2017,5402,641,99400,212
Accessories,Hair Combs/Brushes,BABYLISS,3/1/2017,2017,5389,641,99200,334
Hair,Hair Shampoo,Clairol,8/8/2017,2017,5359,757,97200,-359
Mens,Hair Conditioner,MR,2/5/2017,2017,65,-1021,97600,-2402
Mens,Facial Moisturisers,NIVEA,29-03-2016,2016,7318,-335,100000,250
Mens,Anti-Perspirants,MITCHUM,8/11/2016,2016,5378,-548,97700,340
Hair,Hair Shampoo,Aveda,12/4/2016,2016,8927,485,97900,24
Toiletries,Anti-Perspirants,L'oreal,21-03-2017,2017,8927,-534,99800,172
Hair,Hair Conditioner,Nivea,13-09-2016,2016,5378,759,98200,242
Toiletries,Tampons,Shiseido,11/7/2017,2017,26228,626,100100,89
Toiletries,Sanitary Towels,Crest,20-09-2016,2016,91649,-788,100500,-550
Toiletries,Shower Gels,Nivea,25-01-2016,2016,26250,607,100300,-317
